Game,Rank,Month,Year,Hours_watched,Hours_Streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio
League of Legends,1,1,2016,94377226,1362044,530270,2903,129172,127021,1833,69.29
Counter-Strike: Global Offensive,2,1,2016,47832863,830105,372654,2197,120849,64378,1117,57.62
Dota 2,3,1,2016,45185893,433397,315083,1100,44074,60815,583,104.26
Hearthstone,4,1,2016,39936159,235903,131357,517,36170,53749,317,169.29
Call of Duty: Black Ops III,5,1,2016,16153057,1151578,71639,3620,214054,21740,1549,14.03
Minecraft,6,1,2016,10231056,490002,64432,1538,88820,13769,659,20.88
World of Warcraft,7,1,2016,8771452,342978,46130,1180,33375,11805,461,25.57
Z1: Battle Royale,8,1,2016,7894571,205569,41588,460,21396,10625,276,38.4
Talk Shows & Podcasts,9,1,2016,7688369,53235,84051,148,10779,10347,71,144.42
FIFA 16,10,1,2016,6988475,203646,145728,756,46462,9405,274,34.32
StarCraft II,11,1,2016,6567126,73753,60355,178,7133,8838,99,89.04
Diablo III,12,1,2016,6235668,218490,57383,2185,25458,8392,294,28.54
Destiny,13,1,2016,5892573,551615,18783,1741,60340,7930,742,10.68
Blade & Soul,14,1,2016,5270251,184279,67256,1099,22637,7093,248,28.6
World of Tanks,15,1,2016,4993627,128356,39358,368,16121,6720,172,38.9
Tom Clancy's Rainbow Six Siege,16,1,2016,4866039,242134,25742,694,42244,6549,325,20.1
RuneScape,17,1,2016,4632857,74628,18809,167,7628,6235,100,62.08
Tom Clancy's The Division,18,1,2016,4495935,61799,148710,2008,28361,6051,83,72.75
Grand Theft Auto V,19,1,2016,4014296,407172,32724,1197,85441,5402,548,9.86
SMITE,20,1,2016,3788701,114041,70542,296,15389,5099,153,33.22
Creative,21,1,2016,3181207,119776,69027,310,15551,4281,161,26.56
Poker,22,1,2016,3151063,36445,18034,126,2527,4241,49,86.46
Super Mario Maker,23,1,2016,3057789,27512,232989,77,2288,4115,37,111.14
Heroes of the Storm,24,1,2016,3024529,102977,34216,268,12972,4070,138,29.37
Darkest Dungeon,25,1,2016,2664560,33174,40249,158,4900,3586,44,80.32
Arma 3,26,1,2016,2542838,86219,32132,275,8771,3422,116,29.49
DayZ,27,1,2016,2321012,71715,30208,208,6985,3123,96,32.36
NBA 2K16,28,1,2016,2275441,196109,15285,678,34202,3062,263,11.6
Magic: The Gathering,29,1,2016,2187509,13939,21482,50,1015,2944,18,156.93
ARK: Survival Evolved,30,1,2016,1951875,93060,19486,241,9575,2627,125,20.97
Halo 5: Guardians,31,1,2016,1846844,83204,40639,259,14525,2485,111,22.2
Super Smash Bros. Melee,32,1,2016,1790598,10638,114935,55,1895,2409,14,168.32
Music,33,1,2016,1719354,31647,27359,88,4925,2314,42,54.33
Super Smash Bros. for Wii U,34,1,2016,1718837,21070,92079,95,2899,2313,28,81.58
Path of Exile,35,1,2016,1701987,63038,5337,157,5160,2290,84,27
Fallout 4,36,1,2016,1681938,269643,12713,781,51042,2263,362,6.24
Rocket League,37,1,2016,1566964,151028,68040,402,36282,2108,203,10.38
Dragon's Dogma: Dark Arisen,38,1,2016,1511191,34912,37730,381,4363,2033,46,43.29
The Legend of Zelda: Ocarina of Time,39,1,2016,1508712,12586,15007,58,1206,2030,16,119.87
Punch Club,40,1,2016,1410837,11803,43813,61,2345,1898,15,119.53
The Binding of Isaac: Afterbirth,41,1,2016,1358589,32059,14111,86,4543,1828,43,42.38
Rust,42,1,2016,1346240,47734,30867,137,6432,1811,64,28.2
Bloodborne,43,1,2016,1300353,86384,199060,257,17349,1750,116,15.05
The Elder Scrolls V: Skyrim,44,1,2016,1192580,32134,32296,82,4854,1605,43,37.11
Madden NFL 16,45,1,2016,1179288,188569,18054,649,31696,1587,253,6.25
Dark Souls,46,1,2016,1176135,30235,14051,89,3882,1582,40,38.9
XCOM: Enemy Within,47,1,2016,1151692,16078,12424,44,1601,1550,21,71.63
Lineage II: The Chaotic Throne - The 1st Throne: The Kamael,48,1,2016,1143257,26768,23981,87,1542,1538,36,42.71
Euro Truck Simulator 2,49,1,2016,1109797,47937,33826,168,7000,1493,64,23.15
